"","ego","alter"
"36","Big Thicket Natural Heritage Trust","Army Corps Of Engineers"
"37","Big Thicket Natural Heritage Trust","Lamar University"
"38","Big Thicket Natural Heritage Trust","Texas Department Of Transportation"
"39","Big Thicket Natural Heritage Trust","Texas Natural Resources Information System"
"40","Big Thicket Natural Heritage Trust","National Weather Service Lake Charles Office"
"41","City of Beaumont, Texas","Texas Water Development Board"
"42","City of Beaumont, Texas","Texas General Land Office"
"43","City of Beaumont, Texas","Texas Division Of Emergency Management"
"44","City of Beaumont, Texas","Lower Neches Valley Authority"
"45","City of Beaumont, Texas","The Sabine River Authority Of Texas"
"46","City of Beaumont, Texas","Texas Department Of Public Safety"
"47","City of Beaumont, Texas","Jefferson County Drainage District 6"
"48","City of Beaumont, Texas","Floodplain Manager Jefferson County"
"49","City of Beaumont, Texas","Office Of Emergency Management Jefferson"
"50","City of Beaumont, Texas","Army Corps Of Engineers"
"51","City of Beaumont, Texas","Lamar University"
"52","City of Beaumont, Texas","Texas Department Of Transportation"
"53","City of Beaumont, Texas","Texas Commission On Environmental Quality"
"54","City of Beaumont, Texas","National Flood Insurance Program"
"55","City of Beaumont, Texas","National Weather Service Lake Charles Office"
"56","City of Houston, Houston Public Works","The National Weather Service Houston Galveston Office"
"57","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Division Of Emergency Management"
"58","DDEOC Beaumont (State of Texas Disaster District EOC)","Lower Neches Valley Authority"
"59","DDEOC Beaumont (State of Texas Disaster District EOC)","The Sabine River Authority Of Texas"
"60","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Department Of Public Safety"
"61","DDEOC Beaumont (State of Texas Disaster District EOC)","Jefferson County Drainage District 3"
"62","DDEOC Beaumont (State of Texas Disaster District EOC)","Jefferson County Drainage District 6"
"63","DDEOC Beaumont (State of Texas Disaster District EOC)","Jefferson County Drainage District 7"
"64","DDEOC Beaumont (State of Texas Disaster District EOC)","Orange County Drainage District"
"65","DDEOC Beaumont (State of Texas Disaster District EOC)","Floodplain Administrator Hardin County"
"66","DDEOC Beaumont (State of Texas Disaster District EOC)","Floodplain Administrator Orange County"
"67","DDEOC Beaumont (State of Texas Disaster District EOC)","Floodplain Administrator Jasper County"
"68","DDEOC Beaumont (State of Texas Disaster District EOC)","Floodplain Manager Jefferson County"
"69","DDEOC Beaumont (State of Texas Disaster District EOC)","Office Of Emergency Management Hardin"
"70","DDEOC Beaumont (State of Texas Disaster District EOC)","Jasper Newton Sabine Emergency Management System"
"71","DDEOC Beaumont (State of Texas Disaster District EOC)","Office Of Emergency Management Orange County"
"72","DDEOC Beaumont (State of Texas Disaster District EOC)","Office Of Emergency Management Jefferson"
"73","DDEOC Beaumont (State of Texas Disaster District EOC)","Army Corps Of Engineers"
"74","DDEOC Beaumont (State of Texas Disaster District EOC)","Lamar University"
"75","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Task Force One"
"76","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Engineering Extension Service"
"77","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Department Of Transportation"
"78","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Parks And Wildlife Department"
"79","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Health And Human Services Commission"
"80","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Commission On Environmental Quality"
"81","DDEOC Beaumont (State of Texas Disaster District EOC)","American Red Cross"
"82","DDEOC Beaumont (State of Texas Disaster District EOC)","National Weather Service Lake Charles Office"
"83","FEMA","Army Corps Of Engineers"
"84","FEMA","Us Geological Survey"
"85","FEMA","The National Weather Service Houston Galveston Office"
"86","FEMA","National Flood Insurance Program"
"87","FEMA","American Red Cross"
"88","Floodplain Administrator Chambers County","Texas Water Development Board"
"89","Floodplain Administrator Chambers County","Texas General Land Office"
"90","Floodplain Administrator Chambers County","Lamar University"
"91","Floodplain Administrator Chambers County","Trinity Bay Conservation District"
"92","Floodplain Administrator Chambers County","The National Weather Service Houston Galveston Office"
"93","Floodplain Administrator Chambers County","National Flood Insurance Program"
"94","Floodplain Administrator Hardin County","Texas Water Development Board"
"95","Floodplain Administrator Hardin County","Office Of Emergency Management Hardin"
"96","Floodplain Administrator Hardin County","National Flood Insurance Program"
"97","Floodplain Administrator Jasper County","Texas Water Development Board"
"98","Floodplain Administrator Jasper County","Texas General Land Office"
"99","Floodplain Administrator Jasper County","Texas Division Of Emergency Management"
"100","Floodplain Administrator Jasper County","Lower Neches Valley Authority"
"101","Floodplain Administrator Jasper County","The Sabine River Authority Of Texas"
"102","Floodplain Administrator Jasper County","Texas Department Of Public Safety"
"103","Floodplain Administrator Jasper County","Floodplain Administrator Hardin County"
"104","Floodplain Administrator Jasper County","Floodplain Administrator Orange County"
"105","Floodplain Administrator Jasper County","Floodplain Manager Jefferson County"
"106","Floodplain Administrator Jasper County","Office Of Emergency Management Hardin"
"107","Floodplain Administrator Jasper County","Jasper Newton Sabine Emergency Management System"
"108","Floodplain Administrator Jasper County","Office Of Emergency Management Orange County"
"109","Floodplain Administrator Jasper County","Office Of Emergency Management Jefferson"
"110","Floodplain Administrator Jasper County","Office Of Emergency Management Liberty County"
"111","Floodplain Administrator Jasper County","Office Of Emergency Management Chambers County"
"112","Floodplain Administrator Jasper County","Army Corps Of Engineers"
"113","Floodplain Administrator Jasper County","Us Geological Survey"
"114","Floodplain Administrator Jasper County","Lamar University"
"115","Floodplain Administrator Jasper County","The National Weather Service Houston Galveston Office"
"116","Floodplain Administrator Jasper County","Texas Task Force One"
"117","Floodplain Administrator Jasper County","Texas Engineering Extension Service"
"118","Floodplain Administrator Jasper County","Texas Parks And Wildlife Department"
"119","Floodplain Administrator Jasper County","Texas Health And Human Services Commission"
"120","Floodplain Administrator Jasper County","Texas Natural Resources Information System"
"121","Floodplain Administrator Jasper County","Texas Commission On Environmental Quality"
"122","Floodplain Administrator Jasper County","American Red Cross"
"123","Floodplain Administrator Jasper County","National Weather Service Lake Charles Office"
"124","Greater Beaumont Chamber of Commerce","Texas Water Development Board"
"125","Greater Beaumont Chamber of Commerce","Texas Division Of Emergency Management"
"126","Greater Beaumont Chamber of Commerce","Lower Neches Valley Authority"
"127","Greater Beaumont Chamber of Commerce","Texas Department Of Public Safety"
"128","Greater Beaumont Chamber of Commerce","Jefferson County Drainage District 6"
"129","Greater Beaumont Chamber of Commerce","Office Of Emergency Management Jefferson"
"130","Greater Beaumont Chamber of Commerce","Lamar University"
"131","Greater Beaumont Chamber of Commerce","Texas Engineering Extension Service"
"132","Greater Beaumont Chamber of Commerce","Texas Department Of Transportation"
"133","Greater Beaumont Chamber of Commerce","Texas Natural Resources Information System"
"134","Greater Beaumont Chamber of Commerce","Texas Commission On Environmental Quality"
"135","Greater Beaumont Chamber of Commerce","Texas Department Of Insurance"
"136","Greater Beaumont Chamber of Commerce","National Weather Service Lake Charles Office"
"137","Gulf Coast Protection District","Jefferson County Drainage District 7"
"138","Gulf Coast Protection District","Orange County Drainage District"
"139","Gulf Coast Protection District","Army Corps Of Engineers"
"140","Gulf Coast Protection District","Lamar University"
"141","Harris County Flood Control District","Texas Water Development Board"
"142","Harris County Flood Control District","Texas General Land Office"
"143","Harris County Flood Control District","Texas Division Of Emergency Management"
"144","Harris County Flood Control District","Army Corps Of Engineers"
"145","Harris County Flood Control District","The National Weather Service Houston Galveston Office"
"146","Harris County Flood Control District","Texas Commission On Environmental Quality"
"147","Harris County Flood Control District","National Flood Insurance Program"
"148","Jefferson County Drainage District 6","Texas Water Development Board"
"149","Jefferson County Drainage District 6","Texas Division Of Emergency Management"
"150","Jefferson County Drainage District 6","Lower Neches Valley Authority"
"151","Jefferson County Drainage District 6","Jefferson County Drainage District 3"
"152","Jefferson County Drainage District 6","Jefferson County Drainage District 7"
"153","Jefferson County Drainage District 6","Floodplain Manager Jefferson County"
"154","Jefferson County Drainage District 6","Army Corps Of Engineers"
"155","Jefferson County Drainage District 6","Lamar University"
"156","Jefferson County Drainage District 6","Trinity Bay Conservation District"
"157","Jefferson County Drainage District 6","Texas Department Of Transportation"
"158","Jefferson County Drainage District 6","Texas Parks And Wildlife Department"
"159","Jefferson County Drainage District 6","National Flood Insurance Program"
"160","Jefferson County Drainage District 6","National Weather Service Lake Charles Office"
"161","Jefferson County Drainage District 7","Texas Water Development Board"
"162","Jefferson County Drainage District 7","Texas General Land Office"
"163","Jefferson County Drainage District 7","Texas Division Of Emergency Management"
"164","Jefferson County Drainage District 7","Lower Neches Valley Authority"
"165","Jefferson County Drainage District 7","The Sabine River Authority Of Texas"
"166","Jefferson County Drainage District 7","Texas Department Of Public Safety"
"167","Jefferson County Drainage District 7","Jefferson County Drainage District 6"
"168","Jefferson County Drainage District 7","Orange County Drainage District"
"169","Jefferson County Drainage District 7","Floodplain Manager Jefferson County"
"170","Jefferson County Drainage District 7","Office Of Emergency Management Jefferson"
"171","Jefferson County Drainage District 7","Army Corps Of Engineers"
"172","Jefferson County Drainage District 7","Lamar University"
"173","Jefferson County Drainage District 7","Texas Department Of Transportation"
"174","Jefferson County Drainage District 7","Texas Commission On Environmental Quality"
"175","Jefferson County Drainage District 7","National Weather Service Lake Charles Office"
"176","Lamar University","Texas Water Development Board"
"177","Lamar University","Texas General Land Office"
"178","Lamar University","Texas Division Of Emergency Management"
"179","Lamar University","Lower Neches Valley Authority"
"180","Lamar University","The Sabine River Authority Of Texas"
"181","Lamar University","Jefferson County Drainage District 6"
"182","Lamar University","Jefferson County Drainage District 7"
"183","Lamar University","Orange County Drainage District"
"184","Lamar University","Floodplain Administrator Chambers County"
"185","Lamar University","Floodplain Administrator Jasper County"
"186","Lamar University","Floodplain Manager Jefferson County"
"187","Lamar University","Army Corps Of Engineers"
"188","Lamar University","Us Geological Survey"
"189","Lamar University","Texas Department Of Transportation"
"190","Lamar University","Texas Natural Resources Information System"
"191","Lamar University","National Weather Service Lake Charles Office"
"192","Lower Neches Valley Authority","Texas Water Development Board"
"193","Lower Neches Valley Authority","Jefferson County Drainage District 6"
"194","Lower Neches Valley Authority","Jefferson County Drainage District 7"
"195","Lower Neches Valley Authority","Orange County Drainage District"
"196","Lower Neches Valley Authority","National Weather Service Lake Charles Office"
"197","Lower Neches Valley Authority","Army Corps Of Engineers"
"198","Lower Neches Valley Authority","Us Geological Survey"
"199","National Weather Service Lake Charles Office","Texas Water Development Board"
"200","National Weather Service Lake Charles Office","Texas Division Of Emergency Management"
"201","National Weather Service Lake Charles Office","Lower Neches Valley Authority"
"202","National Weather Service Lake Charles Office","The Sabine River Authority Of Texas"
"203","National Weather Service Lake Charles Office","Jefferson County Drainage District 6"
"204","National Weather Service Lake Charles Office","Jefferson County Drainage District 7"
"205","National Weather Service Lake Charles Office","Orange County Drainage District"
"206","National Weather Service Lake Charles Office","Floodplain Administrator Hardin County"
"207","National Weather Service Lake Charles Office","Floodplain Administrator Orange County"
"208","National Weather Service Lake Charles Office","Floodplain Administrator Jasper County"
"209","National Weather Service Lake Charles Office","Floodplain Manager Jefferson County"
"210","National Weather Service Lake Charles Office","Office Of Emergency Management Hardin"
"211","National Weather Service Lake Charles Office","Jasper Newton Sabine Emergency Management System"
"212","National Weather Service Lake Charles Office","Office Of Emergency Management Orange County"
"213","National Weather Service Lake Charles Office","Office Of Emergency Management Jefferson"
"214","National Weather Service Lake Charles Office","Office Of Emergency Management Tyler"
"215","National Weather Service Lake Charles Office","Army Corps Of Engineers"
"216","National Weather Service Lake Charles Office","Us Geological Survey"
"217","National Weather Service Lake Charles Office","Lamar University"
"218","National Weather Service Lake Charles Office","Texas Natural Resources Information System"
"219","National Weather Service Lake Charles Office","National Flood Insurance Program"
"220","Orange County Drainage District","Texas Water Development Board"
"221","Orange County Drainage District","Texas General Land Office"
"222","Orange County Drainage District","Texas Division Of Emergency Management"
"223","Orange County Drainage District","Lower Neches Valley Authority"
"224","Orange County Drainage District","The Sabine River Authority Of Texas"
"225","Orange County Drainage District","Jefferson County Drainage District 7"
"226","Orange County Drainage District","Floodplain Administrator Orange County"
"227","Orange County Drainage District","Office Of Emergency Management Orange County"
"228","Orange County Drainage District","Army Corps Of Engineers"
"229","Orange County Drainage District","Lamar University"
"230","Orange County Drainage District","Texas Department Of Transportation"
"231","Orange County Drainage District","Texas Parks And Wildlife Department"
"232","Orange County Drainage District","National Flood Insurance Program"
"233","Orange County Drainage District","National Weather Service Lake Charles Office"
"234","PACAN (Port Arthur Community Action Network)","Texas Water Development Board"
"235","PACAN (Port Arthur Community Action Network)","Texas General Land Office"
"236","PACAN (Port Arthur Community Action Network)","Texas Department Of Public Safety"
"237","PACAN (Port Arthur Community Action Network)","Jefferson County Drainage District 7"
"238","PACAN (Port Arthur Community Action Network)","Floodplain Manager Jefferson County"
"239","PACAN (Port Arthur Community Action Network)","Office Of Emergency Management Jefferson"
"240","PACAN (Port Arthur Community Action Network)","Army Corps Of Engineers"
"241","PACAN (Port Arthur Community Action Network)","Us Geological Survey"
"242","PACAN (Port Arthur Community Action Network)","Texas Health And Human Services Commission"
"243","PACAN (Port Arthur Community Action Network)","Texas Commission On Environmental Quality"
"244","PACAN (Port Arthur Community Action Network)","National Weather Service Lake Charles Office"
"245","Office of Emergency Management - Port Neches","Texas Division Of Emergency Management"
"246","Office of Emergency Management - Port Neches","Texas Department Of Public Safety"
"247","Office of Emergency Management - Port Neches","Office Of Emergency Management Jefferson"
"248","Office of Emergency Management - Port Neches","Texas Engineering Extension Service"
"249","Office of Emergency Management - Port Neches","American Red Cross"
"250","Office of Emergency Management - Port Neches","National Weather Service Lake Charles Office"
"251","Sabine Pass Port Authority","Texas Department Of Transportation"
"252","South East Texas Regional Planning Commission","Texas Water Development Board"
"253","South East Texas Regional Planning Commission","Texas General Land Office"
"254","South East Texas Regional Planning Commission","Texas Division Of Emergency Management"
"255","South East Texas Regional Planning Commission","Lower Neches Valley Authority"
"256","South East Texas Regional Planning Commission","The Sabine River Authority Of Texas"
"257","South East Texas Regional Planning Commission","Jefferson County Drainage District 6"
"258","South East Texas Regional Planning Commission","Jefferson County Drainage District 7"
"259","South East Texas Regional Planning Commission","Orange County Drainage District"
"260","South East Texas Regional Planning Commission","Floodplain Administrator Hardin County"
"261","South East Texas Regional Planning Commission","Floodplain Administrator Orange County"
"262","South East Texas Regional Planning Commission","Floodplain Administrator Jasper County"
"263","South East Texas Regional Planning Commission","Floodplain Manager Jefferson County"
"264","South East Texas Regional Planning Commission","Office Of Emergency Management Hardin"
"265","South East Texas Regional Planning Commission","Jasper Newton Sabine Emergency Management System"
"266","South East Texas Regional Planning Commission","Office Of Emergency Management Orange County"
"267","South East Texas Regional Planning Commission","Office Of Emergency Management Jefferson"
"268","South East Texas Regional Planning Commission","Army Corps Of Engineers"
"269","South East Texas Regional Planning Commission","Lamar University"
"270","South East Texas Regional Planning Commission","Texas Task Force One"
"271","South East Texas Regional Planning Commission","Texas Engineering Extension Service"
"272","South East Texas Regional Planning Commission","Texas Department Of Transportation"
"273","South East Texas Regional Planning Commission","Texas Health And Human Services Commission"
"274","South East Texas Regional Planning Commission","Texas Commission On Environmental Quality"
"275","South East Texas Regional Planning Commission","American Red Cross"
"276","South East Texas Regional Planning Commission","National Weather Service Lake Charles Office"
"277","Southeast Texas Food Bank","Texas Division Of Emergency Management"
"278","Southeast Texas Food Bank","Texas Department Of Public Safety"
"279","Southeast Texas Food Bank","Office Of Emergency Management Hardin"
"280","Southeast Texas Food Bank","Office Of Emergency Management Jefferson"
"281","Southeast Texas Food Bank","Texas Health And Human Services Commission"
"282","Southeast Texas Food Bank","American Red Cross"
"283","Texas Oil and Gas Association","Texas Water Development Board"
"284","Texas Oil and Gas Association","Texas General Land Office"
"285","Texas Oil and Gas Association","Texas Division Of Emergency Management"
"286","Texas Oil and Gas Association","Texas Department Of Public Safety"
"287","Texas Oil and Gas Association","Office Of Emergency Management Orange County"
"288","Texas Oil and Gas Association","Office Of Emergency Management Jefferson"
"289","Texas Oil and Gas Association","Office Of Emergency Management Chambers County"
"290","Texas Oil and Gas Association","Army Corps Of Engineers"
"291","Texas Oil and Gas Association","Lamar University"
"292","Texas Oil and Gas Association","The National Weather Service Houston Galveston Office"
"293","Texas Oil and Gas Association","Texas Task Force One"
"294","Texas Oil and Gas Association","Texas Department Of Transportation"
"295","Texas Oil and Gas Association","Texas Commission On Environmental Quality"
"296","Texas Sea Grant","Texas Water Development Board"
"297","Texas Sea Grant","Texas General Land Office"
"298","Texas Sea Grant","Texas Division Of Emergency Management"
"299","Texas Sea Grant","Office Of Emergency Management Jefferson"
"300","Texas Sea Grant","Lamar University"
"301","Texas Sea Grant","The National Weather Service Houston Galveston Office"
"302","Texas Sea Grant","Texas Engineering Extension Service"
"303","Texas Sea Grant","Texas Parks And Wildlife Department"
"304","Texas Sea Grant","Texas Department Of Insurance"
"305","Texas Sea Grant","National Flood Insurance Program"
"306","Texas Water Development Board","Texas General Land Office"
"307","Texas Water Development Board","Texas Division Of Emergency Management"
"308","Texas Water Development Board","Lower Neches Valley Authority"
"309","Texas Water Development Board","The Sabine River Authority Of Texas"
"310","Texas Water Development Board","Army Corps Of Engineers"
"311","Texas Water Development Board","Us Geological Survey"
"312","Texas Water Development Board","Trinity Bay Conservation District"
"313","Texas Water Development Board","Texas Parks And Wildlife Department"
"314","Texas Water Development Board","Texas Natural Resources Information System"
"315","Texas Water Development Board","Texas Commission On Environmental Quality"
"316","Texas Water Development Board","National Flood Insurance Program"
"317","The National Weather Service Houston Galveston Office","Texas Water Development Board"
"318","The National Weather Service Houston Galveston Office","Texas General Land Office"
"319","The National Weather Service Houston Galveston Office","Texas Division Of Emergency Management"
"320","The National Weather Service Houston Galveston Office","Texas Department Of Public Safety"
"321","The National Weather Service Houston Galveston Office","Office Of Emergency Management Liberty County"
"322","The National Weather Service Houston Galveston Office","Office Of Emergency Management Chambers County"
"323","The National Weather Service Houston Galveston Office","Army Corps Of Engineers"
"324","The National Weather Service Houston Galveston Office","Us Geological Survey"
"325","The National Weather Service Houston Galveston Office","Texas Department Of Transportation"
"326","The National Weather Service Houston Galveston Office","Texas Commission On Environmental Quality"
"327","The National Weather Service Houston Galveston Office","National Flood Insurance Program"
"328","The National Weather Service Houston Galveston Office","American Red Cross"
"329","The National Weather Service Houston Galveston Office","National Weather Service Lake Charles Office"
"330","The National Weather Service-West Gulf River office","Texas Water Development Board"
"331","The National Weather Service-West Gulf River office","Texas General Land Office"
"332","The National Weather Service-West Gulf River office","Texas Division Of Emergency Management"
"333","The National Weather Service-West Gulf River office","The Sabine River Authority Of Texas"
"334","The National Weather Service-West Gulf River office","Jefferson County Drainage District 3"
"335","The National Weather Service-West Gulf River office","Jefferson County Drainage District 6"
"336","The National Weather Service-West Gulf River office","Jefferson County Drainage District 7"
"337","The National Weather Service-West Gulf River office","Army Corps Of Engineers"
"338","The National Weather Service-West Gulf River office","Us Geological Survey"
"339","The National Weather Service-West Gulf River office","The National Weather Service Houston Galveston Office"
"340","The National Weather Service-West Gulf River office","Texas Task Force One"
"341","The National Weather Service-West Gulf River office","Texas Engineering Extension Service"
"342","The National Weather Service-West Gulf River office","Texas Department Of Transportation"
"343","The National Weather Service-West Gulf River office","Texas Natural Resources Information System"
"344","The National Weather Service-West Gulf River office","Texas Commission On Environmental Quality"
"345","The National Weather Service-West Gulf River office","National Weather Service Lake Charles Office"
"346","The Salvation Army Beaumont","Texas Division Of Emergency Management"
"347","The Salvation Army Beaumont","Office Of Emergency Management Jefferson"
"348","United Way of Beaumont & North Jefferson County","Texas Division Of Emergency Management"
"349","United Way of Beaumont & North Jefferson County","Texas Department Of Public Safety"
"350","United Way of Beaumont & North Jefferson County","Jefferson County Drainage District 6"
"351","United Way of Beaumont & North Jefferson County","Floodplain Manager Jefferson County"
"352","United Way of Beaumont & North Jefferson County","Lamar University"
"353","United Way of Beaumont & North Jefferson County","American Red Cross"
