"","ego","alter"
"33","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Parks And Wildlife Department"
"34","DDEOC Beaumont (State of Texas Disaster District EOC)","Texas Health And Human Services Commission"
"35","DDEOC Beaumont (State of Texas Disaster District EOC)","American Red Cross"
"36","Floodplain Administrator Chambers County","Texas Water Development Board"
"37","Floodplain Administrator Chambers County","Texas General Land Office"
"38","Floodplain Administrator Jasper County","Texas General Land Office"
"39","Floodplain Administrator Jasper County","Texas Division Of Emergency Management"
"40","Floodplain Administrator Jasper County","Texas Department Of Public Safety"
"41","Floodplain Administrator Jasper County","Floodplain Administrator Hardin County"
"42","Floodplain Administrator Jasper County","Floodplain Administrator Orange County"
"43","Floodplain Administrator Jasper County","Floodplain Manager Jefferson County"
"44","Floodplain Administrator Jasper County","Office Of Emergency Management Hardin"
"45","Floodplain Administrator Jasper County","Jasper Newton Sabine Emergency Management System"
"46","Floodplain Administrator Jasper County","Office Of Emergency Management Orange County"
"47","Floodplain Administrator Jasper County","Office Of Emergency Management Jefferson"
"48","Floodplain Administrator Jasper County","Office Of Emergency Management Liberty County"
"49","Floodplain Administrator Jasper County","Office Of Emergency Management Chambers County"
"50","Floodplain Administrator Jasper County","Lamar University"
"51","Floodplain Administrator Jasper County","Texas Task Force One"
"52","Floodplain Administrator Jasper County","Texas Engineering Extension Service"
"53","Floodplain Administrator Jasper County","Texas Parks And Wildlife Department"
"54","Floodplain Administrator Jasper County","National Weather Service Lake Charles Office"
"55","Greater Beaumont Chamber of Commerce","Lower Neches Valley Authority"
"56","Greater Beaumont Chamber of Commerce","Jefferson County Drainage District 6"
"57","Greater Beaumont Chamber of Commerce","Lamar University"
"58","Greater Beaumont Chamber of Commerce","Texas Engineering Extension Service"
"59","Greater Beaumont Chamber of Commerce","Texas Natural Resources Information System"
"60","Greater Beaumont Chamber of Commerce","Texas Commission On Environmental Quality"
"61","Gulf Coast Protection District","Jefferson County Drainage District 7"
"62","Gulf Coast Protection District","Orange County Drainage District"
"63","Gulf Coast Protection District","Army Corps Of Engineers"
"64","Gulf Coast Protection District","Lamar University"
"65","Harris County Flood Control District","Army Corps Of Engineers"
"66","Harris County Flood Control District","National Flood Insurance Program"
"67","National Weather Service Lake Charles Office","Texas Division Of Emergency Management"
"68","National Weather Service Lake Charles Office","Lower Neches Valley Authority"
"69","National Weather Service Lake Charles Office","The Sabine River Authority Of Texas"
"70","National Weather Service Lake Charles Office","Floodplain Administrator Hardin County"
"71","National Weather Service Lake Charles Office","Floodplain Administrator Orange County"
"72","National Weather Service Lake Charles Office","Floodplain Administrator Jasper County"
"73","National Weather Service Lake Charles Office","Floodplain Manager Jefferson County"
"74","National Weather Service Lake Charles Office","Office Of Emergency Management Hardin"
"75","National Weather Service Lake Charles Office","Jasper Newton Sabine Emergency Management System"
"76","National Weather Service Lake Charles Office","Office Of Emergency Management Orange County"
"77","National Weather Service Lake Charles Office","Office Of Emergency Management Jefferson"
"78","National Weather Service Lake Charles Office","Office Of Emergency Management Tyler"
"79","National Weather Service Lake Charles Office","Us Geological Survey"
"80","National Weather Service Lake Charles Office","Lamar University"
"81","National Weather Service Lake Charles Office","National Flood Insurance Program"
"82","PACAN (Port Arthur Community Action Network)","Army Corps Of Engineers"
"83","PACAN (Port Arthur Community Action Network)","Us Geological Survey"
"84","PACAN (Port Arthur Community Action Network)","Texas Health And Human Services Commission"
"85","Office of Emergency Management - Port Neches","Texas Department Of Public Safety"
"86","Office of Emergency Management - Port Neches","Office Of Emergency Management Jefferson"
"87","Office of Emergency Management - Port Neches","American Red Cross"
"88","South East Texas Regional Planning Commission","Texas Water Development Board"
"89","South East Texas Regional Planning Commission","Texas General Land Office"
"90","South East Texas Regional Planning Commission","Texas Health And Human Services Commission"
"91","South East Texas Regional Planning Commission","American Red Cross"
"92","Southeast Texas Food Bank","Texas Division Of Emergency Management"
"93","Southeast Texas Food Bank","Office Of Emergency Management Hardin"
"94","Southeast Texas Food Bank","Office Of Emergency Management Jefferson"
"95","Southeast Texas Food Bank","Texas Health And Human Services Commission"
"96","Southeast Texas Food Bank","American Red Cross"
"97","Texas Oil and Gas Association","Texas Water Development Board"
"98","Texas Oil and Gas Association","Texas General Land Office"
"99","Texas Oil and Gas Association","Texas Department Of Public Safety"
"100","Texas Oil and Gas Association","Lamar University"
"101","Texas Oil and Gas Association","Texas Task Force One"
"102","Texas Oil and Gas Association","Texas Division Of Emergency Management"
"103","Texas Oil and Gas Association","Texas Commission On Environmental Quality"
"104","Texas Sea Grant","Texas General Land Office"
"105","Texas Sea Grant","Office Of Emergency Management Jefferson"
"106","Texas Sea Grant","Lamar University"
"107","Texas Sea Grant","Texas Department Of Insurance"
"108","Texas Water Development Board","Lower Neches Valley Authority"
"109","Texas Water Development Board","The Sabine River Authority Of Texas"
"110","Texas Water Development Board","Trinity Bay Conservation District"
"111","Texas Water Development Board","Texas Natural Resources Information System"
"112","Texas Water Development Board","National Flood Insurance Program"
"113","The National Weather Service Houston Galveston Office","Texas Division Of Emergency Management"
"114","The National Weather Service Houston Galveston Office","Texas Department Of Public Safety"
"115","The National Weather Service Houston Galveston Office","American Red Cross"
"116","The National Weather Service Houston Galveston Office","National Weather Service Lake Charles Office"
"117","United Way of Beaumont & North Jefferson County","Lamar University"
"118","United Way of Beaumont & North Jefferson County","American Red Cross"
