name,org_type1,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_water_development_board,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_general_land_office,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_division_of_emergency_management2,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_the_lower_neches_valley_authority,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_the_sabine_river_authority_of_texas,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_department_of_public_safety,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_jefferson_county_drainage_district_3,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_jefferson_county_drainage_district_6,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_jefferson_county_drainage_district_7,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_orange_county_drainage_district,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_hardin_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_newton_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_orange_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_chambers_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_jasper_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_liberty_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_manager_jefferson_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_hardin,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_jasper_newton_sabine_emergency_management_system,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_orange_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_jefferson,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_liberty_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_chambers_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_tyler,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_army_corps_of_engineers,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_us_geological_survey,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_lamar_university,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_trinity_bay_conservation_district,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_the_national_weather_service_houston_galveston_office,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_task_force_one,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_engineering_extension_service,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_department_of_transportation,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_parks_and_wildlife_department,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_health_and_human_services_commission,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_division_of_emergency_management,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_natural_resources_information_system,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_commission_on_environmental_quality,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_the_texas_clean_rivers_program,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_department_of_insurance,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_national_flood_insurance_program,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_american_red_cross,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_national_weather_service_lake_charles_office,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_water_development_board,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_general_land_office,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_division_of_emergency_management2,generally_speaking_the_information_provided_by_the_following_organizations_is_the_lower_neches_valley_authority,generally_speaking_the_information_provided_by_the_following_organizations_is_the_sabine_river_authority_of_texas,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_department_of_public_safety,generally_speaking_the_information_provided_by_the_following_organizations_is_jefferson_county_drainage_district_3,generally_speaking_the_information_provided_by_the_following_organizations_is_jefferson_county_drainage_district_6,generally_speaking_the_information_provided_by_the_following_organizations_is_jefferson_county_drainage_district_7,generally_speaking_the_information_provided_by_the_following_organizations_is_orange_county_drainage_district,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_hardin_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_newton_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_orange_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_chambers_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_jasper_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_liberty_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_manager_jefferson_county,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_hardin,generally_speaking_the_information_provided_by_the_following_organizations_is_jasper_newton_sabine_emergency_management_system,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_orange_county,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_jefferson,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_liberty_county,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_chambers_county,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_tyler,generally_speaking_the_information_provided_by_the_following_organizations_is_army_corps_of_engineers,generally_speaking_the_information_provided_by_the_following_organizations_is_us_geological_survey,generally_speaking_the_information_provided_by_the_following_organizations_is_lamar_university,generally_speaking_the_information_provided_by_the_following_organizations_is_trinity_bay_conservation_district,generally_speaking_the_information_provided_by_the_following_organizations_is_the_national_weather_service_houston_galveston_office,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_task_force_one,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_engineering_extension_service,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_department_of_transportation,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_parks_and_wildlife_department,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_health_and_human_services_commission,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_division_of_emergency_management,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_natural_resources_information_system,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_commission_on_environmental_quality,generally_speaking_the_information_provided_by_the_following_organizations_is_the_texas_clean_rivers_program,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_department_of_insurance,generally_speaking_the_information_provided_by_the_following_organizations_is_national_flood_insurance_program,generally_speaking_the_information_provided_by_the_following_organizations_is_american_red_cross,generally_speaking_the_information_provided_by_the_following_organizations_is_national_weather_service_lake_charles_office
Sabine Pass Port Authority,State agency,NA,NA,NA,NA,NA,Extremely Not confident,NA,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,Slightly confident,Not confident,NA,NA,Not confident,NA,NA,NA,Slightly confident,NA,NA,NA,Not confident,NA,NA,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not confident,NA,NA,NA,NA,NA,Useful,NA,Useful,NA,NA,NA,NA,NA,NA,NA,NA,Useful,Useful,NA,NA,Useful,NA,NA,NA,Useful,NA,NA,NA,Useful,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Orange County Drainage District,County agency,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,NA,NA,NA,Somewhat confident,Somewhat confident,NA,NA,Somewhat confident,NA,NA,NA,NA,NA,NA,Somewhat confident,NA,NA,NA,NA,Somewhat confident,Slightly confident,Somewhat confident,NA,NA,NA,NA,Somewhat confident,Somewhat confident,NA,Somewhat confident,NA,Slightly confident,NA,NA,Not confident,NA,Slightly confident,Extremely useful,Extremely useful,Extremely useful,Very useful,Extremely useful,NA,NA,NA,Very useful,Extremely useful,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,NA,NA,Very useful,Not applicable,Very useful,NA,NA,NA,NA,Very useful,Extremely useful,NA,Extremely useful,NA,Not applicable,NA,NA,Somewhat useful,NA,3
Texas Oil and Gas Association,Nonprofit,Completely confident,Somewhat confident,Completely confident,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat confident,Somewhat confident,NA,Somewhat confident,NA,Somewhat confident,NA,Completely confident,NA,Completely confident,Somewhat confident,NA,Somewhat confident,NA,NA,Completely confident,NA,Completely confident,NA,NA,NA,NA,NA,Useful,Useful,Extremely useful,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,Very useful,NA,Useful,NA,Extremely useful,NA,Extremely useful,Useful,NA,Very useful,NA,NA,Extremely useful,NA,Extremely useful,NA,NA,NA,NA,
Floodplain Administrator - Chambers County,County agency,Completely confident,Completely confident,NA,Somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,Completely confident,NA,NA,NA,NA,NA,Completely confident,NA,Completely confident,Somewhat confident,Completely confident,Completely confident,Completely confident,NA,NA,Completely confident,NA,NA,Completely confident,NA,NA,NA,NA,Somewhat confident,NA,NA,Extremely useful,Extremely useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,Very useful,NA,NA,NA,NA,NA,Extremely useful,NA,Very useful,Useful,Extremely useful,Extremely useful,Extremely useful,NA,NA,Extremely useful,NA,NA,Extremely useful,NA,NA,NA,NA,Extremely useful,NA,
Jefferson County Drainage District 6,Other,Completely confident,NA,Slightly confident,Completely confident,NA,NA,Slightly confident,Completely confident,Completely confident,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,Slightly confident,NA,Somewhat confident,Completely confident,NA,NA,NA,Somewhat confident,Slightly confident,NA,Slightly confident,NA,NA,NA,NA,Slightly confident,NA,Completely confident,Extremely useful,NA,Useful,Extremely useful,NA,NA,Useful,Extremely useful,Extremely useful,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,Useful,NA,Useful,Extremely useful,NA,NA,NA,Extremely useful,Extremely useful,NA,Extremely useful,NA,NA,NA,NA,Useful,NA,4
FEMA,Federal agency,NA,NA,Somewhat confident,NA,NA,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat confident,Slightly confident,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat confident,Slightly confident,NA,NA,NA,Extremely useful,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Useful,Useful,
"City of Houston, Houston Public Works",Municipal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
South East Texas Regional Planning Commission,Other,Completely confident,Completely confident,Completely confident,NA,NA,NA,NA,Completely confident,Completely confident,Completely confident,Completely confident,NA,Completely confident,NA,Completely confident,NA,Completely confident,Completely confident,Completely confident,Completely confident,Completely confident,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,NA,Extremely useful,Extremely useful,Extremely useful,Extremely useful,NA,Extremely useful,NA,Extremely useful,NA,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,NA,NA,NA,Useful,NA,Extremely useful,NA,NA,Extremely useful,Extremely useful,Extremely useful,NA,Very useful,Extremely useful,NA,Extremely useful,NA,NA,NA,Extremely useful,4
Big Thicket Biosphere Reserve,Nonprofit,Somewhat confident,Slightly confident,NA,NA,NA,NA,NA,Somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slightly confident,NA,NA,NA,NA,NA,NA,Not confident,Slightly confident,Somewhat confident,NA,NA,NA,NA,Somewhat confident,Somewhat confident,NA,NA,NA,Slightly confident,NA,NA,NA,NA,NA,Useful,Not Applicable,NA,NA,NA,NA,NA,Useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Useful,NA,NA,NA,NA,NA,NA,Not applicable,Useful,Very useful,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,Useful,NA,NA,NA,NA,
Texas Water Development Board,State agency,Completely confident,Completely confident,Completely confident,Completely confident,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,Completely confident,NA,Completely confident,NA,NA,NA,NA,Completely confident,NA,Completely confident,Completely confident,Completely confident,NA,NA,Completely confident,NA,NA,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,NA,Extremely useful,NA,NA,NA,NA,Extremely useful,NA,Extremely useful,Extremely useful,Extremely useful,NA,NA,Extremely useful,NA,
Harris County Flood Control District,County agency,Slightly confident,Slightly confident,Somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,Somewhat confident,NA,NA,Somewhat confident,NA,NA,NA,NA,NA,Somewhat confident,NA,Somewhat confident,NA,NA,Completely confident,NA,NA,Somewhat useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Extremely useful,NA,NA,Extremely useful,NA,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,Extremely useful,NA,
"USGS, Gulf Coast Branch Office, Oklahoma Texas Water Science Center",Federal agency,Completely confident,Completely confident,Completely confident,NA,Completely confident,Completely confident,Completely confident,Completely confident,Completely confident,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,Completely confident,Completely confident,Completely confident,NA,NA,Completely confident,Completely confident,NA,Completely confident,Completely confident,Completely confident,NA,NA,NA,NA,Completely confident,Extremely useful,Extremely useful,Extremely useful,NA,Extremely useful,Extremely useful,Extremely useful,Very useful,Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,Extremely useful,Very useful,Extremely useful,NA,NA,Extremely useful,Extremely useful,NA,Extremely useful,Extremely useful,Extremely useful,NA,NA,NA,NA,4
Texas Division of Emergency Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Greater Beaumont Chamber of Commerce,Nonprofit,Completely confident,NA,Somewhat confident,Completely confident,NA,Somewhat confident,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,Somewhat confident,Somewhat confident,NA,NA,Somewhat confident,Somewhat confident,Somewhat confident,NA,Somewhat confident,NA,NA,Completely confident,Very useful,NA,Useful,Very useful,NA,Useful,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Useful,Useful,NA,NA,Useful,Useful,Useful,NA,Useful,NA,NA,3
Gulf Coast Protection District,Other,NA,Somewhat confident,Somewhat confident,NA,NA,NA,NA,NA,Completely confident,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,Not confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
The National Weather Service-West Gulf River office,Federal agency,Completely confident,Somewhat confident,Completely confident,NA,Completely confident,NA,Completely confident,Completely confident,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,Completely confident,NA,NA,Completely confident,Somewhat confident,Somewhat confident,Somewhat confident,NA,NA,Completely confident,Completely confident,Completely confident,NA,NA,NA,NA,Completely confident,Extremely useful,Not Applicable,Extremely useful,NA,Extremely useful,NA,Extremely useful,Extremely useful,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,NA,NA,Extremely useful,Not applicable,Not applicable,Not applicable,NA,NA,Not applicable,Extremely useful,Not applicable,NA,NA,NA,NA,4
Big Thicket Natural Heritage Trust,Nonprofit,Somewhat confident,Extremely Not confident,Slightly confident,NA,NA,NA,NA,Slightly confident,NA,NA,Extremely Not confident,NA,NA,NA,NA,NA,NA,Not confident,NA,NA,NA,NA,NA,NA,Slightly confident,NA,Somewhat confident,NA,Slightly confident,NA,NA,Slightly confident,NA,NA,Slightly confident,Somewhat confident,NA,NA,NA,NA,NA,Somewhat confident,Extremely useful,Useful,Useful,Very useful,NA,Useful,NA,Very useful,NA,NA,Useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,NA,Very useful,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,3
American Red Cross,Nonprofit,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,NA,NA,NA,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,NA,Somewhat confident,NA,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Useful,Useful,Useful,Very useful,Very useful,Useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Useful,Useful,Useful,Useful,Useful,Useful,Useful,Very useful,NA,NA,NA,Extremely useful,Useful,Useful,Extremely useful,Useful,Very useful,Useful,NA,Extremely useful,NA,Very useful,Useful,Extremely useful,4
PACAN (Port Arthur Community Action Network),Nonprofit,Somewhat confident,Extremely Not confident,NA,Somewhat confident,NA,Slightly confident,NA,NA,Extremely Not confident,NA,NA,NA,NA,NA,NA,NA,Extremely Not confident,NA,NA,NA,Not confident,NA,NA,NA,Somewhat confident,Somewhat confident,NA,NA,NA,NA,NA,NA,NA,Not confident,NA,NA,Not confident,NA,NA,NA,NA,Not confident,Extremely useful,NA,NA,Very useful,NA,Useful,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,Not applicable,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Extremely useful,NA,NA,NA,NA,2
Floodplain Administrator - Hardin County,County agency,Completely confident,NA,Somewhat confident,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,Extremely useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,
Southeast Texas Food Bank,Other,NA,NA,Completely confident,NA,NA,Somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat confident,NA,NA,Somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slightly confident,NA,NA,NA,NA,NA,NA,Somewhat confident,NA,NA,NA,Extremely useful,NA,NA,Useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Extremely useful,
Port Neches Emergency Management,Municipal,NA,NA,Completely confident,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat confident,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,Completely confident,Completely confident,NA,NA,Extremely useful,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Extremely useful,NA,NA,NA,NA,NA,Extremely useful,4
Texas Sea Grant,Academia,Somewhat confident,Slightly confident,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat confident,NA,NA,NA,NA,NA,Somewhat confident,NA,Slightly confident,NA,Slightly confident,NA,Not confident,NA,Slightly confident,NA,NA,NA,Not confident,Completely confident,NA,NA,Very useful,Useful,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Extremely useful,NA,Extremely useful,NA,Very useful,NA,Useful,NA,Extremely useful,NA,NA,NA,Very useful,Extremely useful,NA,
National Weather Service,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lower Neches Valley Authority,State agency,Slightly confident,Slightly confident,Slightly confident,NA,Slightly confident,NA,NA,Completely confident,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slightly confident,NA,NA,NA,Completely confident,Somewhat confident,Not confident,Somewhat confident,NA,NA,NA,Not confident,Slightly confident,NA,Slightly confident,NA,Slightly confident,Not confident,NA,NA,NA,Somewhat confident,Useful,Somewhat useful,Very useful,NA,Somewhat useful,NA,NA,Very useful,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,Useful,NA,NA,NA,Extremely useful,Extremely useful,Somewhat useful,Somewhat useful,NA,NA,NA,Somewhat useful,Somewhat useful,NA,Useful,NA,Useful,Useful,NA,NA,NA,Extremely useful
Texas General Land Office,State agency,Completely confident,Completely confident,Completely confident,Completely confident,Completely confident,NA,NA,Completely confident,Completely confident,Completely confident,NA,NA,Somewhat confident,Somewhat confident,NA,Somewhat confident,Somewhat confident,Completely confident,Completely confident,Completely confident,Completely confident,Completely confident,Completely confident,NA,Completely confident,Completely confident,Completely confident,Completely confident,NA,NA,NA,NA,NA,NA,Completely confident,Completely confident,NA,NA,Somewhat confident,Somewhat confident,Somewhat confident,NA,Very useful,Extremely useful,Very useful,Not Applicable,Not Applicable,NA,NA,Extremely useful,Extremely useful,Extremely useful,NA,NA,Not Applicable,Not Applicable,NA,Not Applicable,Not Applicable,Extremely useful,Very useful,Extremely useful,Extremely useful,Not applicable,Not applicable,NA,Useful,Useful,Extremely useful,Not applicable,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,Very useful,Very useful,Very useful,NA
